"Timestamp","ความยินยอมในการใช้ข้อมูลส่วนบุคคล  ","1. เพศของท่าน","2. ช่วงอายุเเละช่วงวัย","3. สถานะการทำงานของท่าน","4. รายได้สุทธิเฉลี่ยต่อเดือน (หลังหักภาษี)","5. จำนวนสมาชิกในครอบครัวที่อยู่ในความดูเเลรับผิดชอบด้านค่าใช้จ่าย (รวมตัวท่าน) ","6. ภาระหนี้สินคงที่ต่อเดือน","7. ค่าใช้จ่ายด้านน้ำมันเเละการเดินทางเฉลี่ยต่อเดือน (บาท)","8. จำนวนผลิตภัณฑ์บัตรเครดิตหรือวงเงินสินเชื่อหมุนเวียนที่ถือครอง","9. ลักษณะการชำระหนี้บัตรเครดิตในรอบ 6 เดือนที่ผ่านมา"," 10. ความถี่ในการเลือกซื้อสินค้าตามความพึงพอใจ โดยไม่ได้วางเเผน","11. การถือครองทรัพย์สินหรือการลงทุน ","12. สภาพคล่องคงเหลือ (กรณีรายได้หยุด ชะงัก ท่านมีเงินสำรองอยู่ได้กี่เดือน?)","13. ในรอบ 1 ปีที่ผ่านมา ท่านเคยประสบสภาวะ ""หมุนเงินไม่ทัน"" จนต้องหยิบยืมเงินหรือไม่","14. หากเกิดเหตุฉุกเฉินที่ต้องใช้เงินก้อนทันที ท่านมีเเหล่งเงินทุนรองรับหรือไม่","15. ท่านมีความกังวลต่อสถานะทางการเงินของตนเองในปัจจุบันระดับใด","16. หากราคาน้ำมันเเละค่าครองชีพสูงขึ้น ร้อยละ 20 ท่านจะให้ความสำคัญกับการดำเนินการสิ่งใดมากที่สุด","17. ท่านมีความรู้ความเข้าใจด้านการวางเเผนการเงินเเละภาษี","18. ท่านมีสวัสดิการหรือประกันสุขภาพส่วนบุคคลที่เพียงพอต่อความเสี่ยง ในรูปแบบใดบ้าง "
"2026/05/04 3:29:16 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","4 ท่าน","ไม่มีภาระหนี้สิน","1000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","4","มีน้อยกว่า 100 % ของรายได้","3 - 6 เดือน","ไม่เคย","มีเงินเก็บส่วนตัวเพียงพอ","2","เเสวงหารายได้เสริม","4","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท)"
"2026/05/04 3:30:16 PM GMT+7","รับทราบเเละยินยอม","หญิง","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","ธุรกิจส่วนตัว / ค้าขาย / ฟรีแลนซ์","10,001 - 25,000 บาท","5 ท่านขึ้นไป","ร้อยละ 31 - 50 ของรายได้","2000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","3","ไม่มีการถือครอง","น้อยกว่า 1 เดือน","1 - 2 ครั้งต่อปี","ขอความช่วยเหลือทางการเงินจากครอบครัว/ญาติ","4","ปรับลดค่าใช้จ่ายที่จำเป็น","3","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท)"
"2026/05/04 3:31:22 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","4 ท่าน","ไม่มีภาระหนี้สิน","2000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","4","ไม่มีการถือครอง","น้อยกว่า 1 เดือน","ไม่เคย","กู้ยืมเงินจากแหล่งนอกระบบ","5","ปรับลดค่าใช้จ่ายที่จำเป็น","1","กรมธรรม์ประกันภัยส่วนบุคคล (เช่น ประกันสุขภาพ/อุบัติเหตุ/ชีวิต ที่ซื้อเอง)"
"2026/05/04 3:37:50 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","3 ท่าน","ไม่มีภาระหนี้สิน","1000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","3","มี 100% - 500% ของรายได้","1 - 3 เดือน","ไม่เคย","มีเงินเก็บส่วนตัวเพียงพอ","2","เเสวงหารายได้เสริม","4","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท)"
"2026/05/04 3:40:52 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","3 ท่าน","ไม่มีภาระหนี้สิน","20","1 - 2 ใบ","ชำระเต็มจำนวน","3","ไม่มีการถือครอง","1 - 3 เดือน","ไม่เคย","ขอความช่วยเหลือทางการเงินจากครอบครัว/ญาติ","1","ปรับลดค่าใช้จ่ายที่จำเป็น","4","สวัสดิการจากที่ทำงาน (เช่น ประกันสังคม, ประกันกลุ่มของบริษัท)"
"2026/05/04 3:43:08 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","3 ท่าน","ไม่มีภาระหนี้สิน","3000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","1","มีน้อยกว่า 100 % ของรายได้","น้อยกว่า 1 เดือน","ไม่เคย","มีเงินเก็บส่วนตัวเพียงพอ","4","เเสวงหารายได้เสริม","2","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท);กรมธรรม์ประกันภัยส่วนบุคคล (เช่น ประกันสุขภาพ/อุบัติเหตุ/ชีวิต ที่ซื้อเอง)"
"2026/05/04 3:47:48 PM GMT+7","รับทราบเเละยินยอม","หญิง","Gen Y / Millennials (เกิดปี พ.ศ. 2523 - 2540 / อายุ 29 - 46 ปี)","นักเรียน/นักศึกษา","10,001 - 25,000 บาท","1 ท่าน (ดูเเลตนเองเพียงลำพัง)","ไม่มีภาระหนี้สิน","100000","1 - 2 ใบ","ชำระเต็มจำนวน","3","มีมากกว่า 1,200% ของรายได้","มากกว่า 6 เดือน","มากกว่า 2 ครั้ง","มีเงินเก็บส่วนตัวเพียงพอ","3","เเสวงหารายได้เสริม","3","การทำประกันเพื่อการออมหรือการลงทุน (เช่น ประกันสะสมทรัพย์, ประกันควบการลงทุน)"
"2026/05/04 3:50:34 PM GMT+7","รับทราบเเละยินยอม","หญิง","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","4 ท่าน","ไม่มีภาระหนี้สิน","1000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","4","ไม่มีการถือครอง","มากกว่า 6 เดือน","1 - 2 ครั้งต่อปี","มีเงินเก็บส่วนตัวเพียงพอ","2","เเสวงหารายได้เสริม","3","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท);สวัสดิการจากที่ทำงาน (เช่น ประกันสังคม, ประกันกลุ่มของบริษัท)"
"2026/05/04 3:53:03 PM GMT+7","รับทราบเเละยินยอม","ชาย","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","10,001 - 25,000 บาท","4 ท่าน","ไม่มีภาระหนี้สิน","2000","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","5","ไม่มีการถือครอง","1 - 3 เดือน","ไม่เคย","มีเงินเก็บส่วนตัวเพียงพอ","2","ปรับลดเงินออม","2","ไม่มีสวัสดิการหรือกรมธรรม์ใดๆ"
"2026/05/04 3:55:14 PM GMT+7","รับทราบเเละยินยอม","หญิง","Gen Z (เกิดปี พ.ศ. 2541 - 2555 / อายุ 14 - 28 ปี)","นักเรียน/นักศึกษา","ต่ำกว่า 10,000 บาท","4 ท่าน","ไม่มีภาระหนี้สิน","500","ไม่มีบัตรเครดิตหรือวงเงินสินเชื่อ","ไม่มีบัตรเครดิต","4","ไม่มีการถือครอง","น้อยกว่า 1 เดือน","ไม่เคย","ขอความช่วยเหลือทางการเงินจากครอบครัว/ญาติ","2","ปรับลดค่าใช้จ่ายที่จำเป็น","2","สวัสดิการพื้นฐานจากภาครัฐ (เช่น สิทธิบัตรทอง 30 บาท);กรมธรรม์ประกันภัยส่วนบุคคล (เช่น ประกันสุขภาพ/อุบัติเหตุ/ชีวิต ที่ซื้อเอง)"
